epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8375850319862366,0.38133475184440613,0.01,0.6905292868614197,1.0393198728561401
1,0.8604291081428528,0.33394888043403625,0.01,0.7924658060073853,11.65995979309082
2,0.8687993288040161,0.3157232105731964,0.01,0.830713152885437,81.07228088378906
3,0.8733485341072083,0.30463865399360657,0.01,0.8554684519767761,2.15916109085083
4,0.8775653839111328,0.2941979765892029,0.01,0.8765456080436707,1.2701351642608643
5,0.8807997703552246,0.2878820300102234,0.01,0.7970253229141235,423.418212890625
6,0.8828936815261841,0.28532975912094116,0.01,0.869536817073822,10434.7197265625
7,0.8829899430274963,0.28277283906936646,0.01,0.874070942401886,590.79248046875
8,0.8847333788871765,0.2792784571647644,0.01,0.8907750248908997,296.4765930175781
9,0.8854070901870728,0.2782987058162689,0.01,0.8660790920257568,366838.71875
10,0.8881402611732483,0.2722873091697693,0.01,0.8298317790031433,83685.5
11,0.8900253176689148,0.2654551565647125,0.01,0.8740116357803345,24031.09765625
12,0.8971115946769714,0.2505442500114441,0.01,0.8546633124351501,10678222.0
13,0.9000299572944641,0.24447476863861084,0.01,0.8841052651405334,27085020.0
14,0.9122992157936096,0.20992852747440338,0.0009999999,0.914513349533081,17679042.0
15,0.9148707389831543,0.20474408566951752,0.0009999999,0.9163693189620972,7246279.5
16,0.9149887561798096,0.20319807529449463,0.0009999999,0.9180812835693359,44405156.0
17,0.9157587885856628,0.20150882005691528,0.0009999999,0.9165133833885193,62688972.0
18,0.9162818193435669,0.1992981731891632,0.0009999999,0.9193101525306702,77877032.0
19,0.9168666005134583,0.19759531319141388,0.0009999999,0.917293131351471,65960264.0
20,0.9175439476966858,0.19677521288394928,0.0009999999,0.9218271970748901,15269064.0
21,0.9183757305145264,0.19523100554943085,0.0009999999,0.9191830158233643,66139380.0
22,0.9190694689750671,0.19345006346702576,0.0009999999,0.9189457297325134,47232580.0
23,0.9190022349357605,0.1927633434534073,0.0009999999,0.9207763075828552,11323138.0
24,0.9194526672363281,0.19174236059188843,0.0009999999,0.9212847948074341,17870790.0
25,0.9202316999435425,0.19020140171051025,0.0009999999,0.9217932820320129,10676556.0
26,0.9212269186973572,0.1871020644903183,9.999999e-05,0.9230560660362244,10083324.0
27,0.9214521050453186,0.18690583109855652,9.999999e-05,0.9223949909210205,3751648.5
28,0.9216300845146179,0.18638035655021667,9.999999e-05,0.9233357310295105,8058990.0
29,0.9216064810752869,0.1859501451253891,9.999999e-05,0.9232509732246399,7941327.5
30,0.9220332503318787,0.18618565797805786,9.999999e-05,0.9230476021766663,8302797.5
31,0.9221821427345276,0.18556123971939087,9.999999e-05,0.9232085943222046,7300275.5
32,0.9222729802131653,0.18527643382549286,9.999999e-05,0.9233357310295105,5946134.5
33,0.9219751358032227,0.18510259687900543,9.999999e-05,0.9227085709571838,1355413.125
34,0.9222294092178345,0.18552088737487793,9.999999e-06,0.92392897605896,5153767.5
35,0.9222311973571777,0.18491670489311218,9.999999e-06,0.9240391254425049,5286495.0
36,0.922420084476471,0.18434907495975494,9.999999e-06,0.9238357543945312,5081749.0
37,0.9223546981811523,0.18489724397659302,9.999999e-06,0.9240900278091431,4985235.5
38,0.9224473237991333,0.1844966560602188,9.999999e-06,0.9238950610160828,445360.125
39,0.9220931529998779,0.1847699135541916,9.999999e-06,0.9237425327301025,4354096.0
40,0.92232745885849,0.18483883142471313,9.999999e-06,0.9237679839134216,5080284.0
41,0.9225907921791077,0.18409287929534912,1e-06,0.9238950610160828,5086446.0
42,0.9224600195884705,0.18444626033306122,1e-06,0.9237849116325378,5119174.5
43,0.9221749305725098,0.18530187010765076,1e-06,0.9239120483398438,5112156.0
44,0.9222530126571655,0.1843111664056778,1e-06,0.9239120483398438,5070667.5
45,0.922234833240509,0.18462496995925903,1e-06,0.9239628911018372,5062082.5
46,0.9223074913024902,0.18470843136310577,1e-06,0.9239374399185181,5051985.5
47,0.9225217700004578,0.18471021950244904,1e-06,0.9236916899681091,5068398.5
